challenge_id,challenge_title,problem_statement,detailed_description,sector,sub_sector,required_technologies,preferred_technologies,minimum_experience_years,required_certifications,eligibility_requirements,preferred_startup_stage,budget_min,budget_max,budget_currency,location,deployment_environment,scalability_requirement,expected_timeline_months,expected_outcomes,key_performance_indicators,procurement_category,challenge_priority,application_deadline,status
de712609-885c-48be-b204-a2f8998b2e4a,AI Innovation for Rural Development using Mobile Tech,Develop a solution to improve rural development operations.,We are seeking startups with expertise in Mobile Tech to build scalable solutions for Rural Development.,Rural Development,Rural Development Tech,['Mobile Tech'],[],0,['ISO 27001'],Must have 0 years of experience and core capability in Mobile Tech.,Scaling,1100000,5800000,INR,Pan India,Cloud,City Level,5,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Software,Medium,2026-10-26T18:40:05.703020Z,Open
698cd44e-b2d1-4a5a-9ddf-8a6e6c5867f9,"AI Innovation for Agriculture using Satellite Imaging, ML, Computer Vision",Develop a solution to improve agriculture operations.,"We are seeking startups with expertise in Satellite Imaging, ML, Computer Vision to build scalable solutions for Agriculture.",Agriculture,Agriculture Tech,"['Satellite Imaging', 'ML', 'Computer Vision']",[],2,['ISO 27001'],Must have 2 years of experience and core capability in Satellite Imaging.,Any,4600000,9200000,INR,Pan India,Cloud,City Level,16,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Hardware & Software,Medium,2026-10-21T18:40:05.703041Z,Open
92d00461-b2fb-45a6-9391-8f78fe52be78,"AI Innovation for Governance using NLP, Data Analytics",Develop a solution to improve governance operations.,"We are seeking startups with expertise in NLP, Data Analytics to build scalable solutions for Governance.",Governance,Governance Tech,"['NLP', 'Data Analytics']","['Blockchain', 'OCR']",2,['ISO 27001'],Must have 2 years of experience and core capability in NLP.,Any,1600000,4100000,INR,Delhi,On-Premise,State Level,17,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Software,High,2026-10-03T18:40:05.703064Z,Open
a3a55dc2-47e8-44fe-a06a-604dd049b2cd,"AI Innovation for Rural Development using IoT, Data Analytics, Renewable Tech",Develop a solution to improve rural development operations.,"We are seeking startups with expertise in IoT, Data Analytics, Renewable Tech to build scalable solutions for Rural Development.",Rural Development,Rural Development Tech,"['IoT', 'Data Analytics', 'Renewable Tech']",[],5,['SOC 2'],Must have 5 years of experience and core capability in IoT.,Any,2500000,4500000,INR,Noida,Cloud,City Level,15,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Software,Medium,2026-10-17T18:40:05.703090Z,Open
2cf52316-f696-49ec-a725-0b6df727b6b5,"AI Innovation for Environment using Satellite Imaging, IoT",Develop a solution to improve environment operations.,"We are seeking startups with expertise in Satellite Imaging, IoT to build scalable solutions for Environment.",Environment,Environment Tech,"['Satellite Imaging', 'IoT']",['Data Analytics'],0,['None'],Must have 0 years of experience and core capability in Satellite Imaging.,Early Traction,2800000,5100000,INR,Coimbatore,Cloud,City Level,18,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Service,Low,2026-09-24T18:40:05.703114Z,Open
4ab31420-afd4-45f3-8e51-cb6bf48ca125,AI Innovation for Defence using Computer Vision,Develop a solution to improve defence operations.,We are seeking startups with expertise in Computer Vision to build scalable solutions for Defence.,Defence,Defence Tech,['Computer Vision'],"['Drones', 'Robotics']",2,['None'],Must have 2 years of experience and core capability in Computer Vision.,Scaling,2500000,6000000,INR,Pan India,Cloud,State Level,13,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Hardware & Software,High,2026-09-28T18:40:05.703135Z,Open
b365bb8d-2f29-40fd-ba99-3bc53c5da8a3,AI Innovation for Waste Management using Route Optimization,Develop a solution to improve waste management operations.,We are seeking startups with expertise in Route Optimization to build scalable solutions for Waste Management.,Waste Management,Waste Management Tech,['Route Optimization'],['IoT'],2,['ISO 27001'],Must have 2 years of experience and core capability in Route Optimization.,Early Traction,2900000,6800000,INR,Pan India,Cloud,National Level,9,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Service,Medium,2026-10-11T18:40:05.703156Z,Open
275c6c42-4302-475f-b7bd-a5bc47571afa,"AI Innovation for Cybersecurity using Network Security, AI",Develop a solution to improve cybersecurity operations.,"We are seeking startups with expertise in Network Security, AI to build scalable solutions for Cybersecurity.",Cybersecurity,Cybersecurity Tech,"['Network Security', 'AI']",[],1,['SOC 2'],Must have 1 years of experience and core capability in Network Security.,Early Traction,3800000,8200000,INR,Surat,Cloud,City Level,11,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Software,High,2026-11-05T18:40:05.703179Z,Open
f7871cd5-f0da-4689-a03c-13ce99935b0b,AI Innovation for Infrastructure using Computer Vision,Develop a solution to improve infrastructure operations.,We are seeking startups with expertise in Computer Vision to build scalable solutions for Infrastructure.,Infrastructure,Infrastructure Tech,['Computer Vision'],['Sensors'],1,['None'],Must have 1 years of experience and core capability in Computer Vision.,Growth,3100000,5400000,INR,Chandigarh,Hybrid,City Level,5,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Service,Medium,2026-11-03T18:40:05.703200Z,Open
341b6bd0-c7b3-4aaa-b60d-b2bb57358376,AI Innovation for Environment using IoT,Develop a solution to improve environment operations.,We are seeking startups with expertise in IoT to build scalable solutions for Environment.,Environment,Environment Tech,['IoT'],[],2,['None'],Must have 2 years of experience and core capability in IoT.,Any,5000000,7600000,INR,Kolkata,Cloud,City Level,5,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Service,High,2026-10-01T18:40:05.703220Z,Open
8c16eb41-a593-4db1-8576-acfb20a95d5d,AI Innovation for Infrastructure using IoT,Develop a solution to improve infrastructure operations.,We are seeking startups with expertise in IoT to build scalable solutions for Infrastructure.,Infrastructure,Infrastructure Tech,['IoT'],['Sensors'],0,['ISO 27001'],Must have 0 years of experience and core capability in IoT.,Growth,2900000,6200000,INR,Pan India,Cloud,State Level,16,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Service,Low,2026-11-10T18:40:05.703240Z,Open
bbd7135d-3d8b-4dae-bfee-367dbf4c0cfc,AI Innovation for Cybersecurity using Network Security,Develop a solution to improve cybersecurity operations.,We are seeking startups with expertise in Network Security to build scalable solutions for Cybersecurity.,Cybersecurity,Cybersecurity Tech,['Network Security'],[],3,['SOC 2'],Must have 3 years of experience and core capability in Network Security.,Any,1100000,3200000,INR,Pan India,Hybrid,City Level,6,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Hardware & Software,High,2026-11-07T18:40:05.703263Z,Open
fb56d98c-6731-4608-b01a-053bb3fb8acf,AI Innovation for Disaster Management using IoT,Develop a solution to improve disaster management operations.,We are seeking startups with expertise in IoT to build scalable solutions for Disaster Management.,Disaster Management,Disaster Management Tech,['IoT'],[],1,['None'],Must have 1 years of experience and core capability in IoT.,Scaling,2400000,4800000,INR,Bhopal,Hybrid,City Level,11,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Hardware & Software,Low,2026-09-22T18:40:05.703283Z,Open
61370f10-eee0-4038-868d-5f5c912b2943,"AI Innovation for Logistics using Blockchain, Route Optimization",Develop a solution to improve logistics operations.,"We are seeking startups with expertise in Blockchain, Route Optimization to build scalable solutions for Logistics.",Logistics,Logistics Tech,"['Blockchain', 'Route Optimization']","['Predictive Analytics', 'IoT']",0,['None'],Must have 0 years of experience and core capability in Blockchain.,Any,2600000,3800000,INR,Lucknow,Edge,National Level,6,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Hardware & Software,Low,2026-09-27T18:40:05.703304Z,Open
5d47c32c-9bdd-4b73-95b2-b9200c65f614,"AI Innovation for Transportation using Predictive Maintenance, Route Optimization",Develop a solution to improve transportation operations.,"We are seeking startups with expertise in Predictive Maintenance, Route Optimization to build scalable solutions for Transportation.",Transportation,Transportation Tech,"['Predictive Maintenance', 'Route Optimization']",[],2,['SOC 2'],Must have 2 years of experience and core capability in Predictive Maintenance.,Early Traction,4400000,6600000,INR,Surat,Hybrid,National Level,6,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Service,Medium,2026-10-14T18:40:05.703324Z,Open
15395a85-614a-40ec-b69a-c59b89e6bae8,"AI Innovation for Logistics using Predictive Analytics, IoT",Develop a solution to improve logistics operations.,"We are seeking startups with expertise in Predictive Analytics, IoT to build scalable solutions for Logistics.",Logistics,Logistics Tech,"['Predictive Analytics', 'IoT']","['Blockchain', 'Route Optimization']",2,['SOC 2'],Must have 2 years of experience and core capability in Predictive Analytics.,Scaling,2200000,5800000,INR,Guwahati,Edge,National Level,3,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Hardware & Software,Medium,2026-11-02T18:40:05.703347Z,Open
8bb16d46-a8ec-4a2c-a51d-cde7d11261e3,"AI Innovation for Transportation using Computer Vision, IoT",Develop a solution to improve transportation operations.,"We are seeking startups with expertise in Computer Vision, IoT to build scalable solutions for Transportation.",Transportation,Transportation Tech,"['Computer Vision', 'IoT']","['Predictive Maintenance', 'Route Optimization']",2,['None'],Must have 2 years of experience and core capability in Computer Vision.,Scaling,4200000,8200000,INR,Pan India,Hybrid,National Level,13,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Software,High,2026-11-10T18:40:05.703368Z,Open
ef73ef9f-dc66-486b-b172-14af6d121c0a,AI Innovation for Water Management using Predictive Analytics,Develop a solution to improve water management operations.,We are seeking startups with expertise in Predictive Analytics to build scalable solutions for Water Management.,Water Management,Water Management Tech,['Predictive Analytics'],[],0,['ISO 27001'],Must have 0 years of experience and core capability in Predictive Analytics.,Any,2500000,6500000,INR,Pan India,Edge,State Level,15,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Software,High,2026-10-30T18:40:05.703389Z,Open
054b0c11-1d61-479f-a466-3a53c02ac41c,AI Innovation for Smart City using IoT,Develop a solution to improve smart city operations.,We are seeking startups with expertise in IoT to build scalable solutions for Smart City.,Smart City,Smart City Tech,['IoT'],['Computer Vision'],3,['None'],Must have 3 years of experience and core capability in IoT.,Scaling,4300000,8200000,INR,Hyderabad,On-Premise,State Level,13,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Hardware & Software,Low,2026-09-24T18:40:05.703414Z,Open
914ef79f-a7d5-4d9c-83d2-4aaddd4ab194,"AI Innovation for Logistics using Predictive Analytics, Route Optimization",Develop a solution to improve logistics operations.,"We are seeking startups with expertise in Predictive Analytics, Route Optimization to build scalable solutions for Logistics.",Logistics,Logistics Tech,"['Predictive Analytics', 'Route Optimization']","['IoT', 'Blockchain']",1,['None'],Must have 1 years of experience and core capability in Predictive Analytics.,Any,2500000,7500000,INR,Pan India,Hybrid,State Level,5,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Service,Medium,2026-10-08T18:40:05.703447Z,Open
c8559569-f080-4d3f-b9fb-d404aaeaea5e,"AI Innovation for Renewable Energy using Smart Grids, ML",Develop a solution to improve renewable energy operations.,"We are seeking startups with expertise in Smart Grids, ML to build scalable solutions for Renewable Energy.",Renewable Energy,Renewable Energy Tech,"['Smart Grids', 'ML']",['Predictive Analytics'],0,['ISO 27001'],Must have 0 years of experience and core capability in Smart Grids.,Scaling,2400000,5800000,INR,Mumbai,Edge,State Level,17,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Hardware & Software,High,2026-11-04T18:40:05.703479Z,Open
8b3edffe-86d0-4cdb-8cc0-8b672614e7ff,"AI Innovation for Transportation using Route Optimization, Computer Vision",Develop a solution to improve transportation operations.,"We are seeking startups with expertise in Route Optimization, Computer Vision to build scalable solutions for Transportation.",Transportation,Transportation Tech,"['Route Optimization', 'Computer Vision']",['IoT'],1,['SOC 2'],Must have 1 years of experience and core capability in Route Optimization.,Any,3200000,6100000,INR,Pan India,Edge,City Level,11,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Hardware & Software,Medium,2026-11-08T18:40:05.703526Z,Open
c9b924f7-3f8e-482e-9312-9d29d29ca15c,"AI Innovation for Smart City using Data Analytics, Edge Computing",Develop a solution to improve smart city operations.,"We are seeking startups with expertise in Data Analytics, Edge Computing to build scalable solutions for Smart City.",Smart City,Smart City Tech,"['Data Analytics', 'Edge Computing']",['Computer Vision'],3,['ISO 27001'],Must have 3 years of experience and core capability in Data Analytics.,Any,1800000,6700000,INR,Pan India,Cloud,National Level,16,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Software,Medium,2026-10-25T18:40:05.703557Z,Open
a361db93-a537-487f-ae2a-bbd166ad2d05,AI Innovation for Defence using AI,Develop a solution to improve defence operations.,We are seeking startups with expertise in AI to build scalable solutions for Defence.,Defence,Defence Tech,['AI'],['Cybersecurity'],1,['SOC 2'],Must have 1 years of experience and core capability in AI.,Growth,3000000,6100000,INR,Visakhapatnam,Hybrid,City Level,18,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Software,Low,2026-11-08T18:40:05.703589Z,Open
f9c2d49e-1a3c-4523-b4a2-9c92d21096f3,AI Innovation for Infrastructure using IoT,Develop a solution to improve infrastructure operations.,We are seeking startups with expertise in IoT to build scalable solutions for Infrastructure.,Infrastructure,Infrastructure Tech,['IoT'],['Computer Vision'],0,['ISO 27001'],Must have 0 years of experience and core capability in IoT.,Early Traction,1200000,2300000,INR,Pan India,On-Premise,City Level,18,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Service,High,2026-10-06T18:40:05.703621Z,Open
b90cb24f-9d36-494b-97a7-09823f46832b,AI Innovation for Tourism using Mobile Tech,Develop a solution to improve tourism operations.,We are seeking startups with expertise in Mobile Tech to build scalable solutions for Tourism.,Tourism,Tourism Tech,['Mobile Tech'],['NLP'],0,['ISO 27001'],Must have 0 years of experience and core capability in Mobile Tech.,Growth,4800000,6500000,INR,Pan India,Hybrid,National Level,15,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Hardware & Software,Low,2026-11-09T18:40:05.703655Z,Open
949173bb-98e6-44f5-8862-71f45f0c5487,AI Innovation for Transportation using IoT,Develop a solution to improve transportation operations.,We are seeking startups with expertise in IoT to build scalable solutions for Transportation.,Transportation,Transportation Tech,['IoT'],"['Route Optimization', 'Predictive Maintenance']",3,['None'],Must have 3 years of experience and core capability in IoT.,Early Traction,4800000,6500000,INR,Lucknow,Hybrid,City Level,13,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Software,Medium,2026-11-10T18:40:05.703678Z,Open
d8162f8f-3cfa-4694-88fb-5ae06faec86a,AI Innovation for Disaster Management using Drones,Develop a solution to improve disaster management operations.,We are seeking startups with expertise in Drones to build scalable solutions for Disaster Management.,Disaster Management,Disaster Management Tech,['Drones'],['IoT'],3,['ISO 27001'],Must have 3 years of experience and core capability in Drones.,Growth,3900000,5800000,INR,Guwahati,Edge,State Level,11,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Hardware & Software,High,2026-10-18T18:40:05.703700Z,Open
9f5ecb7e-28d4-4647-9117-0726e7eca285,"AI Innovation for Agriculture using IoT, ML",Develop a solution to improve agriculture operations.,"We are seeking startups with expertise in IoT, ML to build scalable solutions for Agriculture.",Agriculture,Agriculture Tech,"['IoT', 'ML']",['Satellite Imaging'],2,['SOC 2'],Must have 2 years of experience and core capability in IoT.,Growth,3400000,6500000,INR,New Delhi,On-Premise,State Level,11,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Hardware & Software,Medium,2026-09-22T18:40:05.703723Z,Open
5eabc2fb-da29-47cc-a1da-017581b62197,"AI Innovation for Skill Development using VR/AR, Machine Learning, Recommendation Systems",Develop a solution to improve skill development operations.,"We are seeking startups with expertise in VR/AR, Machine Learning, Recommendation Systems to build scalable solutions for Skill Development.",Skill Development,Skill Development Tech,"['VR/AR', 'Machine Learning', 'Recommendation Systems']",['NLP'],1,['ISO 27001'],Must have 1 years of experience and core capability in VR/AR.,Any,3600000,7700000,INR,Nagpur,Edge,City Level,5,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Hardware & Software,High,2026-10-26T18:40:05.703747Z,Open
b5fbf217-84b9-460b-a25a-be0aa4de3950,"AI Innovation for Public Safety using Predictive Analytics, Biometrics, IoT",Develop a solution to improve public safety operations.,"We are seeking startups with expertise in Predictive Analytics, Biometrics, IoT to build scalable solutions for Public Safety.",Public Safety,Public Safety Tech,"['Predictive Analytics', 'Biometrics', 'IoT']",[],1,['None'],Must have 1 years of experience and core capability in Predictive Analytics.,Growth,4300000,7500000,INR,Lucknow,Hybrid,State Level,11,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Software,High,2026-10-18T18:40:05.703769Z,Open
4f7ec1ca-4230-4de6-b0a3-47677ae5458e,"AI Innovation for Transportation using IoT, Route Optimization",Develop a solution to improve transportation operations.,"We are seeking startups with expertise in IoT, Route Optimization to build scalable solutions for Transportation.",Transportation,Transportation Tech,"['IoT', 'Route Optimization']",[],1,['None'],Must have 1 years of experience and core capability in IoT.,Growth,4000000,6700000,INR,Pan India,Hybrid,City Level,14,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Software,Medium,2026-11-06T18:40:05.703792Z,Open
f26223d3-22b0-4b85-8732-fa949fef8692,"AI Innovation for Smart City using Edge Computing, Computer Vision, Data Analytics",Develop a solution to improve smart city operations.,"We are seeking startups with expertise in Edge Computing, Computer Vision, Data Analytics to build scalable solutions for Smart City.",Smart City,Smart City Tech,"['Edge Computing', 'Computer Vision', 'Data Analytics']",[],2,['SOC 2'],Must have 2 years of experience and core capability in Edge Computing.,Early Traction,1800000,6800000,INR,Bengaluru,Edge,State Level,17,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Hardware & Software,High,2026-11-08T18:40:05.703815Z,Open
0661d731-4940-4d47-9684-a27d07ac9a48,"AI Innovation for Healthcare using Medical AI, NLP",Develop a solution to improve healthcare operations.,"We are seeking startups with expertise in Medical AI, NLP to build scalable solutions for Healthcare.",Healthcare,Healthcare Tech,"['Medical AI', 'NLP']",['Computer Vision'],1,['ISO 27001'],Must have 1 years of experience and core capability in Medical AI.,Scaling,4600000,9600000,INR,Delhi,Cloud,City Level,6,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Service,Medium,2026-11-03T18:40:05.703866Z,Open
ab452b12-5473-4fb2-b39c-3efafcc2ad48,"AI Innovation for Skill Development using Recommendation Systems, NLP, Machine Learning",Develop a solution to improve skill development operations.,"We are seeking startups with expertise in Recommendation Systems, NLP, Machine Learning to build scalable solutions for Skill Development.",Skill Development,Skill Development Tech,"['Recommendation Systems', 'NLP', 'Machine Learning']",[],1,['None'],Must have 1 years of experience and core capability in Recommendation Systems.,Early Traction,4700000,8400000,INR,Pan India,On-Premise,National Level,9,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Hardware & Software,Low,2026-10-10T18:40:05.703936Z,Open
3beb567e-55ca-481a-a6d8-09cc8c0ef3dc,AI Innovation for Agriculture using IoT,Develop a solution to improve agriculture operations.,We are seeking startups with expertise in IoT to build scalable solutions for Agriculture.,Agriculture,Agriculture Tech,['IoT'],[],2,['SOC 2'],Must have 2 years of experience and core capability in IoT.,Any,2000000,3000000,INR,Pan India,On-Premise,State Level,12,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Service,Medium,2026-10-17T18:40:05.703987Z,Open
785d8c39-f63d-4e16-afaf-b4669da59ed7,"AI Innovation for Agriculture using Satellite Imaging, IoT, ML",Develop a solution to improve agriculture operations.,"We are seeking startups with expertise in Satellite Imaging, IoT, ML to build scalable solutions for Agriculture.",Agriculture,Agriculture Tech,"['Satellite Imaging', 'IoT', 'ML']",[],0,['ISO 27001'],Must have 0 years of experience and core capability in Satellite Imaging.,Early Traction,2400000,4300000,INR,Pan India,Hybrid,National Level,12,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Hardware & Software,High,2026-10-08T18:40:05.704044Z,Open
